子育て,こそだて,名詞,child rearing; child raising,子育て 介護,N/A,1
降りかかる,おりかかっ,動詞,to fall (on); to rain down; to befall; to happen (to),それが 火の粉のように降りかかったとしても,N/A,1
燃え尽きる,もえことごとき,動詞,to burn out,それで 誰かが燃え尽きそうになっていたとしても,N/A,1
バーン,ばーん,副詞,barn (unit of area),よかった バーン…,N/A,1
ホント,ほんと,名詞,truth; reality; proper; right,ホントだね,N/A,1
専念,せんねん,名詞,absorption; giving undivided attention,女性が家事だけに専念できる余裕は この国には もうないんです,N/A,1
立候補,りっこうほ,名詞,candidacy; standing as a candidate,中谷さんの他に私の友達に 立候補してくれる人はいませんか～！,N/A,1
人,にん,名詞,"-ian (e.g. Italian); -ite (e.g. Tokyoite); -er (e.g. performer, etc.); person working with ...",はい 家族以外の人と話すの 久しぶりで,N1,16
種,たね,名詞,kind; variety; (biological) species,絶滅危惧種だよね この街じゃ,N1,6
来る,らい,動詞,to come (spatially or temporally); to approach; to come back; to do ... and come back,私も初めて ここに来た時 ちょっと緊張した,N1,5
転落,てんらく,名詞,"fall; tumble; fall (in position, standing, etc.); downfall",転落したのは 現場のマンションの,N1,5
分,ふん,名詞,"minute (unit of time); fun (one tenth of a monme, 5.787 grains)",15分？ まだ15分しか たってないの？,N1,5
決まる,きまっ,動詞,to be decided; to be settled; to be unchanging; to be the same (as always),村上さんは もう決まった？ えっ？,N1,4
街,まち,名詞,street; quarter,絶滅危惧種だよね この街じゃ,N1,4
間違う,まちがっ,動詞,to be mistaken; to be incorrect; to make a mistake (in); to do incorrectly,私は間違ってない,N1,4
喋る,しゃべり,動詞,to talk; to chat,大人と喋りたい,N1,3
入る,いら,動詞,to enter; to go in; to set (of the sun or moon); to sink,うちは入らないので,N1,3
二人,ふたり,名詞,two persons; two people,でも 子供と二人きりの時間は長い,N1,3
現場,げんば,名詞,"actual spot; scene (of a crime, accident, etc.); (on) site; (on) the ground",転落したのは 現場のマンションの,N1,3
階,かい,名詞,storey; story; stairs,5階に住んでいる3歳の男の子で,N1,3
小児科,しょうにか,名詞,pediatrics,小児科に連れていこうと思って,N1,3
完璧,かんぺき,名詞,perfect; complete,大丈夫 仕事も家事も完璧にできる,N1,3
終わる,おわる,動詞,to end; to come to an end; to finish; to complete,もうすぐ育休が終わるの,N1,2
回収,かいしゅう,名詞,collection; recovery,こちらは廃品回収車です…,N1,2
誤る,あやまっ,動詞,to make a mistake (in); to commit an error; to be wrong; to be incorrect,誤って転落した可能性があるとみて,N1,2
怒る,いから,動詞,to get angry; to get mad; to scold; to tell (someone) off,これ 怒られるでしょ,N1,2
一日,ついたち,名詞,one day; all day (long); the whole day,専業主婦の一日は,N1,1
進行,しんこう,名詞,"moving forward (e.g. of a vehicle); onward movement; progress (of work, activities, etc.); advance",進行～！,N1,1
旦那,だんな,名詞,"master (of a house, shop, etc.); husband",家事なんて片手間でできるのに 旦那が お金持ちなのかな？,N1,1
コミュニケーション,こみゅにけーしょん,名詞,communication,社員間でのコミュニケーションも より活発になり,N1,1
向上,こうじょう,名詞,elevation; rise,社内環境の 向上が見込めます 以上です,N1,1
遅れ,おくれ,名詞,delay; lag,専業主婦なんて もう時代遅れなのかも,N1,1
初,はつ,名詞,first; new,人生初の｢おばさん｣ いただきました,N1,1
引き取る,ひきとっ,動詞,"to take into one's possession; to receive; to take into one's care (e.g. person, pet); to take custody of",篤正くんも引き取ってきたんですか？,N1,1
件,けん,名詞,the aforementioned; the said; the usual,出欠確認の件なんだけど… あっ ちょっと待って待って… 何で？,N1,1
採用,さいよう,名詞,use; adoption; appointment; employment,来週は採用する提案を絞り…,N1,1
上がる,あがっ,動詞,to rise; to go up; to enter (esp. from outdoors); to come in,あの よかったら ちょっと上がってください えっ？,N1,1
寝かせる,ねかせる,動詞,to put to bed; to let sleep; to lay (something) down; to put on its side,まず ご飯食べさせて お風呂入らせて 寝かせる,N1,1
達成,たっせい,名詞,achievement; attainment,先月 売り上げ達成できてないよね,N1,1
店,みせ,名詞,store; shop,あっ ごめん 今日 エリアマネージャーが店に来てさ,N1,1
一言,ひとこと,名詞,single word; a few words,だったら 一言 連絡してよ,N1,1
ルール,るーる,名詞,rule,ちょっとくらい ルール違反しても,N1,1
介護,かいご,名詞,nursing; care,子育て 介護,N1,1
他人,たにん,名詞,another person; other people; unrelated person (i.e. not related by blood),他人のことなど,N1,1
マンション,まんしょん,名詞,condominium (usu. mid or high-rise); apartment building,転落したのは 現場のマンションの,N2,3
預かる,あずかり,動詞,to look after; to take care of; to be put in charge of; to be given responsibility for,うちで篤正くん 預かりましょうか,N2,3
惜しい,おしい,形容詞,regrettable; disappointing; precious; dear,チミジ 惜しい,N2,2
深夜,しんや,名詞,late at night,全部 終わるのが深夜1時か2時,N2,2
独り言,ひとりごと,名詞,soliloquy; monologue,独り言で できている,N2,1
元々,もともと,副詞,originally; from the start; none the worse (for); (coming out) even,まあ 元々 私 営業職だし,N2,1
飛び込む,とびこむ,動詞,to jump in; to leap in; to burst in; to barge in,知らないところに飛び込むのは 嫌いじゃないけどね,N2,1
献立,こんだて,名詞,menu; bill of fare; program; programme,ああ 夕飯？ 献立の話ですか？,N2,1
集合,しゅうごう,名詞,meeting up; gathering; set,あじさい公園に集合で～！,N2,1
ピンク,ぴんく,名詞,pink; erotic; blue,青 赤 ピンク,N2,1
登場,とうじょう,名詞,"entrance (on the stage); appearance (in a book, film, etc.); appearance (on the scene); arrival (on the market)",トリケラトプス登場 ドン！,N2,1
スタート,すたーと,名詞,start; beginning; starting (e.g. a race); departing,ここからスタート→,N2,1
バイバイ,ばいばい,感動詞,bye-bye; goodbye; saying goodbye; parting,はい バイバイ お預かりしま～す おはよう,N2,1
助かる,たすかり,動詞,to be saved; to be rescued; to escape harm; to be spared damage,本当にありがとう 助かりました,N2,1
資料,しりょう,名詞,material; materials,そのあと 仕事の資料を確認して,N2,1
ママ,まま,名詞,"mom; mommy; female proprietress (of a bar, etc.)",ママ 気合入れて奮発しちゃいました～,N3,18
主婦,しゅふ,名詞,housewife; mistress (of the house),専業主婦の一日は,N3,17
家事,かじ,名詞,housework; domestic chores; family affairs; household matters,家事です,N3,13
ゲーム,げーむ,名詞,game,ゲームオーバー…,N3,9
今日,きょう,名詞,today; this day; these days; recently,今日は初めての場所にお出かけするから,N3,7
時,とき,名詞,time; hour; occasion; case,私も初めて ここに来た時 ちょっと緊張した,N3,7
絶滅,ぜつめつ,名詞,extinction; extermination; eradication; stamping out,絶滅危惧種だよね この街じゃ,N3,7
言う,いっっ,動詞,to say; to utter; to name; to call,そう言ったんだけどさ でもさ…,N3,6
オーバー,おーばー,名詞,overcoat; exceeding; going over,ゲームオーバー…,N3,6
本当,ほんとう,名詞,truth; reality; proper; right,本当にありがとう 助かりました,N3,5
下,した,名詞,below; down; bottom,下のお子さん 熱があるんですか？,N3,4
勝ち,かち,名詞,win; victory,篤正くんの勝ち！,N3,3
確認,かくにん,名詞,confirmation; verification,出欠確認の件なんだけど… あっ ちょっと待って待って… 何で？,N3,3
余裕,よゆう,名詞,surplus; margin; composure; placidity,専業主婦なんだから余裕があるのは当然,N3,3
日,にち,名詞,day; days; sun; sunshine,ご飯だって レトルトばっかの日もあるし,N3,3
助ける,たすけ,動詞,to save; to rescue; to help; to assist,助けて,N3,3
願う,ねがい,動詞,to desire; to wish; to beg; to request,長野さん よろしくお願いします,N3,2
緊張,きんちょう,名詞,"tension; strain; tensions (between countries, groups, etc.)",もしかして緊張してる？,N3,2
同時,どうじ,名詞,same time; simultaneous; concurrent,仕事と家事 2つのことを同時にできない,N3,2
友,とも,名詞,friend; companion; accompaniment; companion (e.g. book),私とママ友になってくれる人,N3,2
母親,ははおや,名詞,mother,母親が目を離した隙に手すりを乗り越え,N3,2
離す,はなし,動詞,to separate; to part,母親が目を離した隙に手すりを乗り越え,N3,2
一番,いちばん,副詞,number one; first; best; most,ママが一番好きな花だよ,N3,2
間,かん,名詞,"space (between); gap; period of time (during, while); duration",その間 そこで じっとしててくれてたら,N3,2
世間,せけん,名詞,world; society,世間から見たら それは仕事じゃない,N3,2
選択,せんたく,名詞,choice; selection,それが今の時代では 当たり前の選択だし,N3,2
営業,えいぎょう,名詞,business; trade; sales,営業ですか？ そう,N3,1
悩む,なやみ,動詞,to be worried; to be troubled,何作るか悩みますよね 毎日のことだし,N3,1
状態,じょうたい,名詞,state; condition,復帰しても 浦島太郎状態になりそうで不安,N3,1
不安,ふあん,名詞,anxiety; uneasiness,復帰しても 浦島太郎状態になりそうで不安,N3,1
人気,にんき,名詞,popularity; public favor; condition (e.g. market); tone,英会話 人気だよね,N3,1
感じ,かんじ,名詞,feeling; sense,でも そんな感じしなかったよね 見た目的に,N3,1
目的,もくてき,名詞,purpose; goal,でも そんな感じしなかったよね 見た目的に,N3,1
